scr_selcode,sub_name,scr_mso,scr_credit,scr_periodly,scr_teacher,description,targets,textBooks,readings,Softwares,assistSoftwares,weeklyScds,gradeRules,integrity
1820,材料力學(一),必修,2.0,(三)06-07,郭文雄,材料力學(一)主要在講解物體受力產生變形之行為，以啟發學生解決材料與結構的相關力學問題的能力。。內容包括應力、應變、材料力學性質、桿件之拉伸與壓縮、及桿件扭轉。,"使學生對工程中之材料性質與應力形式有相當之瞭解。
使學生能應用力平衡公式、判斷結構支撐條件與求解反作用力。
培養學生對外力、支撐與產生應力之關係有分析與求解之能力
培養學生對結構及材料力學相關專業英語之認識",,,,,,,
1821,電腦輔助工程-SolidWorks,必修,3.0,(三)02-04,黃振鴻,由於電腦科技及軟體工程之發達，電腦輔助工程技術已經應用於國內電子及航太產業。 有效運用這些先進電腦輔助工程技術以輔助其產品設計，可大量縮短產品開發及上市之時間，進而提升產品之競爭性。 針對此一需求，本系規劃了『電腦輔助工程-SolidWorks』 期望學生藉由本課程之上課講解及互動學習，搭配實際上機操作、作業、期末專題計畫、考試等方式以熟悉：1電腦輔助工程軟體-SolidWorks的基本建模步驟：28olidWorks的基本組裝與機構模擬方法; 3.SolidWorks的基本熱流與結構模擬方法。,"熟悉SolidWorks草圖繪製指令以建構二維草圖
熟悉以SolidWorks實體指令以建構三維實體模型的方法
能運用SolidWorks組裝及機構模組以模擬組合件之結合與運動能運用SolidWorks組裝及機構模組以模擬組合件之結合與運動
熟悉SolidWorks的基本熱流與結構模擬方法
具團隊合作精神以進行工程設計之能力
訓練口頭報告其設計作品之能力","SOLIDWORKS 2022基礎範例應用

作者 : 許中原
出版年份 : 2022/8/9
ISBN : 9786263282391

","Youtube網路自學參考網站 SolidWorks Tutorial ☺ - YouTube
","[{'soft_name': 'SolidWorks', 'soft_memo': 'SolidWorks為現今極為普遍的高階3D電腦輔助設計與工程分析 (CAD/CAE)軟體'}]",,Reading: SolidWorks簡介與介面操作 || Reading: SolidWorks之2D草圖建構 || Reading: SolidWorks之3D 基本拉伸建模 || Reading: SolidWorks之3D基本旋轉建模 || Reading: SolidWorks之3D基本掃出建模 || Reading: SolidWorks之3D基本疊層拉伸建模 || Reading: SolidWorks零件之組合與生成 || Reading: 期中報告 || Reading: SolidWorks零件之組合與機構模擬 || Reading: SolidWorks零件之結構強度與安全係數分析 || Reading: 期末報告,"score_rate: 35
evalb_memo: 期中報告(或期中考試)35% (包括組合的產品與零組件的彩現)
evalb_name: 期中考

score_rate: 35
evalb_memo: 期末報告35% (包括組合的產品, 機構模擬及結構分析)
evalb_name: 期末專題

score_rate: 30
evalb_memo: 出席與課堂操作30% (缺曠課將依次數扣平常成績, 扣完為止)
evalb_name: 出席狀況

",
1822,熱力學(一),必修,3.0,(一)02-04,葉俊良,首先適切的呈現一些新的熱物理觀念與定義並定義出那些可量測和其他不可量測的熱力學性質，接著介紹各種熱力學性質表。透過熱力學第一定理介紹兩種熱力學性質─內能與焓，由第二定理介紹另一種性質─熵。此外，包含很多符合真實環境的實際範例來協助學生達到瞭解熱力學的目的。,"了解對古典熱力學範圍廣泛和嚴密的處理方法。
了解系統之能量守恆分析。
應用熱力學第一及第二定律進行工程系統分析。","Thermodynamics, An Engineering Approach (10th Edition)

Yunus A. Cengel, Michael A. Boles, Mehmet Kanoglu
McGraw-Hill, 2024

","Thermodynamics, An Engineering Approach (10th Edition)

Yunus A. Cengel, Michael A. Boles, Mehmet Kanoglu
McGraw-Hill, 2024

",,,"Reading: Introduction and Basic Concepts || Reading: Energy and Energy Transfer || Reading: General Energy Analysis || Reading: Properties of Pure Substances || Reading: Property Tables || Reading: Energy Analysis of Closed Systems || Reading: Specific Heats || Reading: Midterm Exam || Reading: Mass and Energy Analysis of Control Volumes || Reading: Energy Analysis of Steady-Flow Systems || Reading: Energy Analysis of Unsteady-Flow Processes || Reading: The Second Law of Thermodynamics || Reading: Heat Engines, Refrigerators, and Heat Pumps || Reading: The Carnot Cycle and Carnot Principles || Reading: Entropy || Reading: The Tds Relations || Reading: Insentropic Efficiencies of Steady-Flow Devices || Reading: Final Exam","score_rate: 35
evalb_memo: 筆試
evalb_name: 期中考

score_rate: 40
evalb_memo: 筆試
evalb_name: 期末考

score_rate: 20
evalb_memo: 每章結束後隔週繳交
evalb_name: 作業

score_rate: 5
evalb_memo: 課堂討論參與、出席狀況
evalb_name: 課堂討論參與

","學期成績計算項目及權重標準如下： A. 點名、作業及課堂表現 25% B. 期中考 35% C. 期末考 40%  
"
1823,應用力學(二),必修,3.0,(二)03     (三)09-10,楊瑞彬,應用力學是描述及預測力作用於剛體的現象或結果，分為靜力學與動力學。應用力學(二)為動力學，是分析剛體受外力作用時所受到的拘束條件及運動。本課程為機構分析與合成的預備課程，並為設計機器等工程應用之基礎。,"使學生對工程中之動力學特性有基本之瞭解。
使學生能利用運動方程式預測質點或剛體之受力與運動。
使學生能利用功與能原理或衝量與動量原理預測質點或剛體之受力與運動。
培養學生應用動力學分析原理解決工程中之動力問題。",,,,,,,
1826,自動化工程實驗,必修,1.0,(三)06-08,陳啟川,"本課程介紹針對自動化產線所使用之機械手臂進行操作、測試、量測及分析。
","使學生瞭解自動化重要之基本概念與理論
培養學生具備操作自動化等設備，並且分析實驗結果之能力
訓練學生各種自動化等設備原理及量測儀器的使用能力，以及培養實驗規劃與設計基本能力與自動化之應用
培養團隊合作",,,,,,,
1827,空氣動力學(一),必修,3.0,(四)08     (五)06-07,謝宗翰,本課程在探討飛機升阻力、力距產生的原理和估算方法。首先探討相關流體的性質和標準大氣，應用的基本原理和理論公式，其次探討如何利用基本原理和公式應用於非壓縮性和壓縮性，非黏性流流經二維翼剖面與部份三維機翼的流場模擬，並計算相關的空氣動力，力和力距的數據。,"了解空氣(流體)性質與基本觀念。
了解流場守恆定律之應用與空氣動力學的處理方法
瞭解無黏不可壓縮性和壓縮性流中之翼剖面與部份機翼之空氣動力特性。",,,,,,,
1828,飛具結構學(一),必修,3.0,(一)02-04,鄭仙志,"此課程之教授內容乃是以基礎之材料力學應用於飛具結構之靜態分析上。學生在修習此課程後, 應具備有基本之飛機結構靜態分析之技能，能夠執行材料之應力-應變分析, 樑之受力情形, 主要飛機結構之分析, 以及一 般機身、機翼組件之分析。","具有基本結構力學之知識。
具有基本結構力學分析的能力與技術。
應用基本材料力學理論與分析技術進行航太結構分析。","主要參考書：
Mechanics of Aircraft Structures 3rd Ed, C. T. Sun, Wiley
","1. Mechanics of Aircraft Structures 3rd Ed, C. T. Sun, Wiley
 
2. 上課講義
 
 
 
 
 
 
 
 
 
 
",,,Reading: 課程資訊與簡介 || Reading: 飛具結構與材料分析(1) || Reading: 飛具結構與材料分析(2) || Reading: 飛具結構與材料分析(3) || Reading: 彈性力學理論簡介(1) || Reading: 彈性力學理論簡介(2) || Reading: 彈性力學理論簡介(3) || Reading: 彈性力學理論簡介(4) || Reading: 扭轉力學分析() || Reading: 期中考 || Reading: 扭轉力學分析(2) || Reading: 扭轉力學分析(3) || Reading: 扭轉力學分析(4) || Reading: 彎曲與撓曲剪切力學分析(1) || Reading: 彎曲與撓曲剪切力學分析(2) || Reading: 彎曲與撓曲剪切力學分析(3) || Reading: 彎曲與撓曲剪切力學分析(4) || Reading: 期末考,"score_rate: 30
evalb_memo: Exam 1 (Midterm)
evalb_name: 期中考

score_rate: 30
evalb_memo: Exam 2 (Final)
evalb_name: 期末考

score_rate: 20
evalb_memo: Assignment/Quiz
evalb_name: 作業

score_rate: 20
evalb_memo: Presence
evalb_name: 出席狀況

","1. 學期成績計算項目及權重標準如下： A. Exam 1 (Midterm) 30% B. Exam 2 (Final) 30% C. Case study 0% D. Assignment/Quiz 20% E. Lab and Lab report 0% F. Mid-Term project 0% G. Final-Term project 0% H. Presence 20%
"
1829,流體力學(二),必修,2.0,(二)01-02,黃柏文,本課程提供修習航空工程之學生關於流體動力學之學理介紹。課程內容包括1.介紹如何利用控制體積之觀念來推導牛頓流體之質量與動量守恆定律的偏微分方程式，並用來求解工程問題；2.瞭解並使用Bernoulli方程式求解不可壓縮、非黏滯流場之速度及壓力變化；3.學習因次分析來設計物理或數值實驗，並應用於類比。,"能瞭解守恆方程式背後所隱含的基本定律以及確認方程式內各項之重要性。
能決定使用理想流觀念及Bernoulli方程式之適當時機。
能運用Buckingham-Pi理論將一組因次變數簡化成一組無因次參數群。","


教科書：Fox, R. W., McDonald, A. T.,  Mitchell, J. W., 2020, Fox and McDonald's Introduction to Fluid Mechanics, 10th Edition, Wiley.


 

","參考書：White, F., Xue, H., 2021, Fluid Mechanics, 9th Edition, McGraw Hill.
 
",,,Reading: 針對控制體積之積分型式基本方程組 || Reading: 針對控制體積之積分型式基本方程組 || Reading: 流體運動之微分解析 || Reading: 流體運動之微分解析 || Reading: 流體運動之微分解析 || Reading: 流體運動之微分解析 || Reading: 流體運動之微分解析 || Reading: 流體運動之微分解析 | Learning: 指定作業 || Reading: 期中考 | Learning: 筆試 || Reading: 不可壓縮非黏性流 || Reading: 不可壓縮非黏性流 || Reading: 不可壓縮非黏性流 || Reading: 不可壓縮非黏性流 || Reading: 不可壓縮非黏性流 | Learning: 指定作業 || Reading: 因次分析與類比 || Reading: 因次分析與類比 || Reading: 因次分析與類比 | Learning: 指定作業 || Reading: 期末考 | Learning: 筆試,"score_rate: 30
evalb_memo: 期中考
evalb_name: 期中考

score_rate: 30
evalb_memo: 期末考
evalb_name: 期末考

score_rate: 30
evalb_memo: 作業
evalb_name: 作業

score_rate: 10
evalb_memo: 出席
evalb_name: 出席狀況

","
學期成績記分法
	本科目採百分記分法：Exam 1 (Midterm) 30% 、 Exam 2 (Final) 30%、Assignment 30%、Class Participation 10%
出席及缺席
	
登記為曠課者，曠課一節扣平時成績5分。
學生請假依本校學生請假辦法辦理，務必要在上課之前，檢附請假理由及文件(事假請附家長連絡電話)，線上提出申請。若不在申請期限內完成請假作業者，無充分的理由，經核准不得取消扣分。


課堂互動
	
請注意iLearn公告事項，以免錯失課程相關訊息。
可使用FCU電子郵件和iLearn，與授課教師進行交流。


作業提交及遲交
	
所有作業必須在作業的截止日期和時間之前完成，且於繳交日當場清點驗收。
請保留所有作業的備份副本。


考評及補考
	應參加考試之學生，非不可抗拒因素且未遵守請假或請假未經核准，而未參加考試者，該科該次考試成績以零分計算且不予補考。
作弊及抄襲
	
違反此規則者，該次評核“不計分”或課程“不計分”。
紙筆測驗時，不得交談、竊窺他人試卷或故意便利鄰座竊窺，或有夾帶、抄襲或傳遞資料等情事經發現時，違者該次考試成績以零分計算；為累犯者則以逢甲大學學生獎懲辦法相關規定處理。
如有替考情事，其舞弊之雙方，均依逢甲大學學生獎懲辦法相關規定處理。
提交原創作品，嚴禁任何形式的抄襲。違反此規則者，該次作業“不計分”或課程“不計分”，結果會導致課程學期成績不及格。


補救措施
	如果您發現學期出現困難時，如跟不上學習進度、聽不懂、或作業有問題等，請參與所安排之TA課輔，或儘早與老師聯繫，以便幫助您找到解決方案。
學期預警
	
當我發現您的學習進度跟不上、可能會妨礙學業成功之疑慮時，我可能會發出預警訊息給您、及您的學習導師。如果您收到預警通知，則您有責任盡快與我聯繫，討論學習上問題，將透過諮詢方式，給予您可能的協助。
另一方面，您也可以多多與您的學習導師聯繫及諮詢，與您面談，一起找尋您的學習障礙點，給予建議改善學習的方案。



 
"
1830,航太專題與實作(一),必修,1.0,(五)08,"黃柏文,陳啟川,劉楊倫,謝宗翰,葉俊良,李育佐,方俊,馬原懷,羅明忠,鄭仙志,黃振鴻,楊瑞彬,張淵仁,陳宗正,郭文雄",本課程強調理論與實務的結合，由多位老師指導學生分組製作專題，除幫助學生了解航太領域的相關專業知識，同時訓練學生專案規劃與管理、經費規劃、問題解決、有效溝通、領域整合與團隊合作的能力。,"幫助學生了解一般航太領域的相關理論與實務
執行實驗以及分析與解釋數據的能力
訓練學生實作能力
具基本系統工程設計能力
使同學具團隊合作精神以進行工程設計之能力
處理整合性工程問題的能力
訓練學生資料蒐集、研究報告寫作等能力
訓練學生瞭解專業責任與工程倫理","飛機設計基本原理                                          
","                                       
","[{'soft_name': 'SOLIDWORKS/ ANSYS / MATLAB / xflr5', 'soft_memo': '使用SOLIDWORKS/ ANSYS / MATLAB / xflr5 等軟體進行UAV設計模擬分析'}]",,Reading: 課程實施方式與規劃介紹 || Reading: 協作平台演練 || Reading: 飛具設計概念介紹 || Reading: 飛行控制與操作 || Reading: 遙控器介紹與實作 || Reading: 概念設計-任務規劃 || Reading: 概念設計-需求分析 || Reading: 創意設計 || Reading: 期中考 || Reading: 企劃書撰寫教學 || Reading: 實驗室資源介紹 || Reading: 概念設計-重量估算 || Reading: 翼剖面與升阻力分析 || Reading: 外型設計 || Reading: 飛行性能估算 || Reading: 穩定度分析 || Reading: 關鍵技術分析與模擬 || Reading: 期末成果發表,,"1.各指導教授評分佔60%
2.專題報告成績佔40%
"
1831,控制實驗(一),必修,1.0,(二)06-08,黃振鴻,本課程為「線性控制系統 (1)」之伴隨課程，主要透過實驗印證機電系統之控制效能及線性控制系統理論，並藉此培植學生具備控制系統工程師之養成智識。此外，目前在工業界控制領域中最為廣泛使用之電腦程式輔助設計語言- MATLAB/Simulink，以及圖控式程式語言- LabVIEW，亦納入本課程內容中，使學生熟悉控制工程常用之軟體工具。,"建構線性控制系統工程科技之基本概念。
了解MATLAB/Simulink、 LabVIEW/DAQ及ELVIS+QNET實驗平台的特性與基本架構。
熟悉Stability of Linear Control System及Time Domain Response 實驗操作與結果。
藉由從事實驗與製作報告中了解團隊合作之重要性。",,,,,,,
