scr_selcode,sub_name,scr_mso,scr_credit,scr_periodly,scr_teacher,description,targets,textBooks,readings,Softwares,assistSoftwares,weeklyScds,gradeRules,integrity
425,體育(一),必修,1.0,(四)06-07,吳佩伊, 落實「以強化學生基本體能並建立基礎運動知識」之體育教學宗旨，授課內容如下：（一）游泳課程─同時段依學生游泳能力進行分級分組協同教學。（二）陸上運動課程─依教師專長項目教學，每專項單元授課兩週，循序轉換。,廣植基礎健康體適能，厚實游泳基本能力，養成規律運動習慣。,"體育分科教材教法、運動教育學
","大專體育雙月刊、學校體育
",,,Reading: 游泳 | Learning: 課程說明 || Reading: 游泳 | Learning: 游泳分級上課 || Reading: 游泳 | Learning: 游泳分級上課 || Reading: 游泳 | Learning: 游泳分級上課 || Reading: 游泳 | Learning: 測驗 || Reading: 游泳 | Learning: 測驗 || Reading: 體適能檢測 | Learning: 測驗 || Reading: 體適能檢測 | Learning: 測驗 || Reading: 陸上運動 | Learning: 健身 || Reading: 陸上運動 | Learning: 健身 || Reading: 陸上運動 | Learning: 健身 || Reading: 陸上運動 | Learning: 健身測驗 || Reading: 陸上運動 | Learning: 籃球 || Reading: 陸上運動 | Learning: 籃球 || Reading: 陸上運動 | Learning: 籃球 || Reading: 陸上運動 | Learning: 籃球測驗 || Reading: 陸上運動 | Learning: 籃球測驗 || Reading: 陸上運動,"score_rate: 20
evalb_memo: 期中20%(體適能成績，未完成補救教學者此項成績為0分)
evalb_name: 期中考

score_rate: 40
evalb_memo: 期末40%(水上技能20%、籃球10%；其他10%)
evalb_name: 期末考

score_rate: 40
evalb_memo: 平時40%(含態度40%)： 1.缺課(含請假)，第一次扣3、第二次扣6、第三次扣9，第四次扣12，依此類推；曠課每次多扣2。缺課超過3次，學期總成績不及格。
evalb_name: 點名

","平時40%(含態度40%)： 1.缺課(含請假)，第一次扣3、第二次扣6、第三次扣9，第四次扣12，依此類推；缺課超過3次，學期總成績不及格。 2.點完名消失或中途離開到下課前回來者學期成績不及格。 3.遲到、早退、見習、滑手機、未著運動服每次扣2；遲到超過25分鐘該堂即算缺課、超過45分鐘計當日缺席。
若因傷或因病無法參與術科操作超過3次者，學期成績不予及格。
"
426,財稅概論,必修,2.0,(四)03-04,梁景洋,"本課程為導論性課程，希望能夠透過「問題導向學習」(Problem Based Learning, PBL) 的課程安排讓同學認識政府「稅收制度」與「財政支出」對於商業社會的影響，使同學能夠勾勒出財稅專業領域未來藍圖。","認識各類型稅收以及政府財政收支基礎知識
能理解政府財政收支政策對商業社會的影響",,,,,,,
427,會計學(一),必修,3.0,(五)02-04,蔡秉玠,"本課程介紹基本會計學原則及觀念，主要包括：會計恆等式、交易分析、會計分錄、調整分錄、結帳分錄、會計循環、財務報表、買賣業會計、存貨、現金與內部控制。 

","能認識會計學(一)涵蓋的主要內容及現代企業的財務報表和其限制。
能理解可應用會計學原理的情況。",,,,,,,
428,會計學(一)實習,必修,0.0,(二)06-07,賴家蓁,"本課程介紹基本會計學原則及觀念，主要包括：會計循環, 現金,應收帳款、存貨、長期性資產取得及折舊、公司會計、投資、負債及財務報表分析。
","能認識會計學(一)涵蓋的主要內容及現代企業的財務報表和其限制。
能理解可應用會計學原理的情況。","Financial Accounting with IFRS Fifth Edition
Jerry J. Weygandt, Paul D. Kimmel 
","財務會計 IFRS 第 5 版
作者/Jerry J. Weygandt, Paul D. Kimmel 
",,,"Reading: CH1 Accounting in Action || Reading: CH1 Accounting in Action || Reading: CH02 The Recording Process || Reading: CH02 The Recording Process || Reading: CH03 Adjusting the Accounts || Reading: CH03 Adjusting the Accounts || Reading: CH04 Completing the Accounting Cycle || Reading: CH04 Completing the Accounting Cycle || Reading: 期中考 || Reading: CH05 Accounting for Merchandise Operations || Reading: CH05 Accounting for Merchandise Operations || Reading: CH06 Inventories || Reading: CH06 Inventories || Reading: CH06 Inventories || Reading: CH07 Fraud, Internal Control, and Cash || Reading: CH07 Fraud, Internal Control, and Cash || Reading: CH07 Fraud, Internal Control, and Cash || Reading: 期末考","score_rate: 65
evalb_memo: 每次上課皆抽考一題上週授課內容
每章結束後即複習考
evalb_name: 隨堂測驗

score_rate: 15
evalb_memo: 每週
evalb_name: 作業

score_rate: 10
evalb_memo: ERP作業
evalb_name: 上機操作

score_rate: 10
evalb_memo: 每次上課都會點名
evalb_name: 點名

",
429,經濟學(一),必修,3.0,(二)02-04,黃定遠,讓學生從經濟學的課程中瞭解經濟體系中的消費者、生產者、及政府單位如何在有限制的條件下做選擇。將理論的邏輯推理運用在日常生活當中。,"理解基本的經濟問題，供需原理，價格機能的運作及相關實例之應用。
理解市場失靈之原因及其對策。
理解廠商的生產及成本理論。
理解不同的市場結構，及廠商的訂價行為。",,,,,,,
430,經濟學(一)實習,必修,0.0,(一)08-09,陳鈺淇,讓學生從經濟學的課程中瞭解經濟體系中的消費者、生產者、及政府單位如何在有限制的條件下做選擇。將理論的邏輯推理運用在日常生活當中。,"理解基本的經濟問題，供需原理，價格機能的運作及相關實例之應用。
理解市場失靈之原因及其對策
理解廠商的生產及成本理論。
理解不同的市場結構，及廠商的訂價行為。","書名: Principles of Economics, 10th Edition
作者: N. Gregory Mankiw,
ISBN: 978-981-5119-29-9
","(同教科書)

書名: Principles of Economics, 10th Edition
作者: N. Gregory Mankiw,
ISBN: 978-981-5119-29-9

",,,"Reading: Chap. 2 Thinking Like an Economist (pp.17-32) | Learning: 課堂討論、作業練習 || Reading: Chap. 3 Interdependence and the Gains from Trade (pp.45-55) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 4 The Market Forces of Supply and Demand (pp.61-82) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 5 Elasticity and Its Application (pp.87-108) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 6 Supply, Demand, and Government Policies (pp.111-129) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 7 Consumers, Producers, and the Efficiency of Markets (pp.133-147) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 10 Externalities (pp.189-207) | Learning: 課堂分組討論。備註：彈性授課 || Reading: Midterm | Learning: 期中隨班考試 || Reading: Chap. 14 The Costs of Production ( pp.267-282) | Learning: 課堂小組討論、作業練習。備註：PBL 教案 || Reading: Chap. 15 Firms in Competition Markets (pp. 287-305) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 16 Monopoly (pp.311-334) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 17 Monopolistic Competition (pp.341-354) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Chap. 18 Oligopoly (pp.359-377) | Learning: 課堂討論、作業練習、課堂小測驗 || Reading: Final | Learning: 期末集中會考","score_rate: 65
evalb_memo: 課堂小測驗
evalb_name: 隨堂測驗

score_rate: 15
evalb_memo: 作業練習
evalb_name: 作業

score_rate: 20
evalb_memo: 上課點名
evalb_name: 點名

","小考65%、作業15%、點名20%。
"
431,管理學,必修,3.0,(一)02-04,黃秀英,管理學是一門兼具科學與藝術的統整性學科。其目的在培養學生成為具備國際觀、前瞻性和競爭力的經理人。課程重視管理知識的傳授和管理能力的培養。課程實施側重於實務導向。從核心概念的建立，逐步導入國內外企業管理實務，強調整合性思考和實務應用。,"能夠理解何謂管理學、企業的外在環境因素、管理程序
能夠知道外在環境因素對企業的影響和衝擊;瞭解管理功能的內涵和彼此之相關性
能夠理解並比較各種管理理論之特性;掌握新的管理發展趨勢並應用在企業實務
能夠理解企業如何將企業倫理和社會責任以及環保等重要議題，融入經營管理決策，強化企業永續經營理念",,,,,,,
440,程式邏輯與AI應用,必修,1.0,(四)10     (四)10,賴璉錡,應用生成式AI工具或平台於程式語言或i-tool之教學，協助學生瞭解變數宣告、迴圈、邏輯判斷、陣列與子程式等核心概念，除奠定程式邏輯應用及運算思維觀念之外，更讓學生精準應用生成式AI工具或平台建立應用程式(app)。,,"
Python最強入門邁向頂尖高手之路：王者歸來(第二版)全彩版
	
洪錦魁
深智數位



"," 

Python 與資料科學入門
	
薛念林
https://www.openedu.tw/course?id=913
Python 可以有效率地處理資料問題，像是資料的讀取、清理、運算、轉換與呈現，以及建立機器學習的模型等。本門課主要介紹程式設計的基礎。


Python資料分析 第二版
	
Wes McKinney
本書由Python pandas專案創立人Wes McKinny所著，是一本實用又現代的資料科學Python工具書，對於剛接觸Python的分析人員，或是新接觸資料科學和科學計算的Python工程師而言，本書是理想的選擇。



","[{'soft_name': 'Python', 'soft_memo': 'v3.9+'}, {'soft_name': 'PyCharm', 'soft_memo': '2022.3+'}]",,Reading: 課程簡介 | Learning: 程式範例實作 | Assignment: 閱讀課程投影片 || Reading: 基本結構與運算 | Assignment: 閱讀課程投影片 課後作業 || Reading: 程式錯誤與註解 | Assignment: 閱讀課程投影片 課後作業 || Reading: 邏輯運算 | Assignment: 閱讀課程投影片 課後作業 || Reading: 邏輯運算 | Assignment: 閱讀課程投影片 課後作業 || Reading: 邏輯運算 | Assignment: 閱讀課程投影片 課後作業 || Reading: 邏輯運算 | Assignment: 閱讀課程投影片 課後作業 || Reading: 邏輯運算 | Assignment: 閱讀課程投影片 課後作業 || Reading: 期中模擬考 | Assignment: 課後作業 || Reading: 期中考 | Assignment: 期中上機考 || Reading: 列表與for迴圈 | Assignment: 閱讀課程投影片 課後作業 || Reading: 列表與for迴圈 | Assignment: 閱讀課程投影片 課後作業 || Reading: 列表與for迴圈 | Assignment: 閱讀課程投影片 課後作業 || Reading: 字典 | Assignment: 閱讀課程投影片 課後作業 || Reading: 應用 | Assignment: 閱讀課程投影片 課後作業 || Reading: 練習 | Assignment: 閱讀課程投影片 課後作業 || Reading: 期末考 | Assignment: 期末上機考,"score_rate: 30
evalb_memo: 期中考
evalb_name: 期中考

score_rate: 30
evalb_memo: 期末考
evalb_name: 期末考

score_rate: 30
evalb_memo: 課堂練習與作業
evalb_name: 作業

score_rate: 10
evalb_memo: 課堂參與
evalb_name: 出席狀況

","期中考與期末考為上機考，以實際取得分數為主。
作業依照繳交次數比例計算分數。
課堂參與為出席情況。
"
3600,現代公民與社會實踐,必修,2.0,(三)06-07,蔡勝男,本課程旨在培養學生兼備人文素養、道德情操、正確價值觀，同時理解自由、平等、民主、法治的真諦，成為一位關懷人民、社會、國家，以其所學付諸實踐的現代公民。,"提升人文素養與道德情操，理解自由、平等、民主、法治的真諦。
培養正確的價值觀，同時具備履行社會責任的能力。","本課程以自編教材為主
","人生好難:現代公民九個麻煩的哲學問題 | 沃草烙哲學作者群 著 | 時報 | HyRead ebook 逢甲大學
改變:12位公民實踐者的故事 | 何宗勳等人作 | 台灣公民參與協會出版 白象文化總經銷 | HyRead ebook 逢甲大學
SDGs系列講堂 去碳化社會:從低碳到脫碳, 尋求乾淨能源打造綠色永續環境 | InfoVisual研究所著;童小芳譯 | 台灣東販 | HyRead ebook 逢甲大學
","[{'soft_name': '1.逢甲大學網路教室iLearn\n2.LINE', 'soft_memo': '課堂文件與公告主要以iLearn為主, LINE群組將作為課堂外互動與文章分享媒介'}]",,Reading: 主題：第一部分：公民知識與價值觀 本學期課程介紹 導論：什麼是現代公民與社會實踐 民主與政治體制 社會正義與平等 法律與公民權 倫理與道德問題 | Learning: 議題分組與知識學習方法 報告製作與課程要求 學生分組活動 || Reading: 主題：第二部分：社會實踐與參與 社會運動與變革 非政府組織（NGOs）與社會企業 社區參與與志願服務 媒體素養與資訊辨識 | Learning: 課堂授課引導 學生分組收集資料 課堂上討論與發表 || Reading: 主題：第三部分：公民技能與氣質 批判性思考與問題解決 溝通與協作技巧 領導力與影響力 公民參與技能 | Learning: 課堂授課引導 學生分組收集資料 課堂上討論與發表 || Reading: 主題：第四部分：全球視野與現實問題 環境議題與永續發展 全球化與多元文化 科技、倫理與社會 | Learning: 課堂授課引導 學生分組收集資料 課堂上討論與發表 || Reading: 主題：總結與實踐 課程總結與實踐計畫介紹 期末發表 | Learning: 課堂授課引導 課堂討論與互動,"score_rate: 27
evalb_memo: 用老師課堂指定方式提交期中考試報告，書面資料要使用老師課堂指定格式進行撰寫。
必須在作業的截止日期和時間之前完成，或者必須在到期日之前要求教師給予特殊許可。討論作業的延遲或缺失會影響您的成績。
保留所有作業的備份副本。
evalb_name: 期中考

score_rate: 30
evalb_memo: 期末以個人方式提出期末專題報告，相關作法與細節將由老師於課堂中公布。
期末發表周將發表你的報告成果。
evalb_name: 期末專題

score_rate: 32
evalb_memo: 登記為曠課者，曠課一次扣平時成績5分。
學生請假依本校學生請假辦法辦理，務必要在上課之前，檢附請假理由及文件，線上提出申請。若不在申請期限內完成請假作業者，無充分的理由，經核准不得取消扣分。
evalb_name: 點名

score_rate: 11
evalb_memo: 你的課堂群組討論與主動發表將影響此部分的評核結果。
evalb_name: 課堂討論參與

","
本科目採百分記分法。
當我發現您的學習進度跟不上、可能會妨礙學業成功之疑慮時，我可能會發出預警訊息給您、及您的學習導師。如果您收到預警通知，則您有責任盡快與我聯繫，討論學習上問題，將透過諮詢方式，給予您可能的協助。另一方面，您也可以多多與您的學習導師聯繫及諮詢，與您面談，一起找尋您的學習障礙點，給予建議改善學習的方案。

 
 
"
433,體育(一),必修,1.0,(一)08-09,盧廷峻, 落實「以強化學生基本體能並建立基礎運動知識」之體育教學宗旨，授課內容如下：（一）游泳課程─同時段依學生游泳能力進行分級分組協同教學。（二）陸上運動課程─依教師專長項目教學，每專項單元授課兩週，循序轉換。,廣植基礎健康體適能，厚實游泳基本能力，養成規律運動習慣。,"體育分科教材教法
桌球規則及飛鏢規則介紹桌球規則及飛鏢規則介紹
","大專體育雙月刊
桌球規則及飛鏢規則介紹桌球規則及飛鏢規則介紹
",,,Reading: 游泳分組教學 | Learning: 課程講解 水域安全宣導 || Reading: 游泳分組教學 | Learning: 呼吸漂浮 || Reading: 游泳分組教學 | Learning: 捷泳踢腿 仰漂 浮具使用 || Reading: 游泳分組教學 | Learning: 捷泳華手 || Reading: 游泳分組教學 | Learning: 立永 潛泳 || Reading: 游泳分組教學 || Reading: 體適能檢測 || Reading: 體適能檢測 || Reading: 桌球教學 || Reading: 桌球教學桌球教學 || Reading: 桌球教學桌球教學 || Reading: 桌球教學桌球教學 || Reading: 飛鏢教學 || Reading: 飛鏢教學 || Reading: 飛鏢教學 || Reading: 飛鏢教學 || Reading: 飛鏢教學 || Reading: 飛鏢教學期末考 ||,"score_rate: 20
evalb_memo: 體適能測驗
evalb_name: 期中考

score_rate: 40
evalb_memo: 術科測驗
evalb_name: 期末考

score_rate: 40
evalb_memo: 缺曠課,上課服裝,上課態度
evalb_name: 出席狀況

","體育(一)成績評量： 1.期中20%─體適能檢測成績(二項未達標準，需完成強化教學） 2.期末40%─術科技能測驗。 3.平時40%
"
